Fecha_diaria	Máximo_venta
04/01/2016	17.3900
05/01/2016	17.3800
06/01/2016	17.5185
07/01/2016	17.7425
08/01/2016	17.9790
11/01/2016	18.0100
12/01/2016	17.9785
13/01/2016	17.9325
14/01/2016	17.9800
15/01/2016	18.3300
18/01/2016	18.2595
19/01/2016	18.2920
20/01/2016	18.6800
21/01/2016	18.7525
22/01/2016	18.5300
25/01/2016	18.5720
26/01/2016	18.5320
27/01/2016	18.5495
28/01/2016	18.3900
29/01/2016	18.2540
02/02/2016	18.5500
03/02/2016	18.6500
04/02/2016	18.3245
05/02/2016	18.4245
08/02/2016	18.7950
09/02/2016	18.8950
10/02/2016	18.9600
11/02/2016	19.4485
12/02/2016	19.1440
15/02/2016	18.8675
16/02/2016	18.8800
17/02/2016	18.7230
18/02/2016	18.3175
19/02/2016	18.3325
22/02/2016	18.1460
23/02/2016	18.2525
24/02/2016	18.3480
25/02/2016	18.2180
26/02/2016	18.2675
29/02/2016	18.1565
01/03/2016	18.0200
02/03/2016	17.9530
03/03/2016	17.9975
04/03/2016	17.8745
07/03/2016	17.8500
08/03/2016	17.9495
09/03/2016	17.8050
10/03/2016	17.9500
11/03/2016	17.7360
14/03/2016	17.8230
15/03/2016	17.9800
16/03/2016	17.9585
17/03/2016	17.4465
18/03/2016	17.3800
22/03/2016	17.3640
23/03/2016	17.5840
28/03/2016	17.5095
29/03/2016	17.5285
30/03/2016	17.2900
31/03/2016	17.3780
01/04/2016	17.4095
04/04/2016	17.4895
05/04/2016	17.7770
06/04/2016	17.8260
07/04/2016	17.9555
08/04/2016	17.8210
11/04/2016	17.6750
12/04/2016	17.6535
13/04/2016	17.5400
14/04/2016	17.4190
15/04/2016	17.6000
18/04/2016	17.5225
19/04/2016	17.3335
20/04/2016	17.3570
21/04/2016	17.5075
22/04/2016	17.4900
25/04/2016	17.6250
26/04/2016	17.4555
27/04/2016	17.4880
28/04/2016	17.2700
29/04/2016	17.2640
02/05/2016	17.2600
03/05/2016	17.5720
04/05/2016	17.7775
05/05/2016	17.8700
06/05/2016	18.0170
09/05/2016	18.2150
10/05/2016	18.0670
11/05/2016	18.0500
12/05/2016	18.0430
13/05/2016	18.1935
16/05/2016	18.2375
17/05/2016	18.3750
18/05/2016	18.4700
19/05/2016	18.6000
20/05/2016	18.4485
23/05/2016	18.5180
24/05/2016	18.5165
25/05/2016	18.4985
26/05/2016	18.4840
27/05/2016	18.5065
30/05/2016	18.4835
31/05/2016	18.4705
01/06/2016	18.6225
02/06/2016	18.6565
03/06/2016	18.7010
06/06/2016	18.6750
07/06/2016	18.5665
08/06/2016	18.2000
09/06/2016	18.3090
10/06/2016	18.7495
13/06/2016	18.8500
14/06/2016	19.0200
15/06/2016	18.9100
16/06/2016	19.0900
17/06/2016	18.9155
20/06/2016	18.6840
21/06/2016	18.6880
22/06/2016	18.5725
23/06/2016	18.3780
24/06/2016	18.9450
27/06/2016	19.2550
28/06/2016	18.9600
29/06/2016	18.6360
30/06/2016	18.5865
01/07/2016	18.4355
04/07/2016	18.4445
05/07/2016	18.7995
06/07/2016	18.9290
07/07/2016	18.9455
08/07/2016	18.7000
11/07/2016	18.5000
12/07/2016	18.3500
13/07/2016	18.4420
14/07/2016	18.3585
15/07/2016	18.5400
18/07/2016	18.5430
19/07/2016	18.6400
20/07/2016	18.6350
21/07/2016	18.6485
22/07/2016	18.6400
25/07/2016	18.7800
26/07/2016	18.8480
27/07/2016	18.9315
28/07/2016	18.9390
29/07/2016	18.8290
01/08/2016	18.8810
02/08/2016	18.9700
03/08/2016	18.9950
04/08/2016	18.9150
05/08/2016	18.9235
08/08/2016	18.6035
09/08/2016	18.4700
10/08/2016	18.3980
11/08/2016	18.3385
12/08/2016	18.3175
15/08/2016	18.0975
16/08/2016	18.0320
17/08/2016	18.3400
18/08/2016	18.1405
19/08/2016	18.3060
22/08/2016	18.3580
23/08/2016	18.4770
24/08/2016	18.5560
25/08/2016	18.4655
26/08/2016	18.5610
29/08/2016	18.6165
30/08/2016	18.8500
31/08/2016	18.8870
01/09/2016	18.9275
02/09/2016	18.7200
05/09/2016	18.5800
06/09/2016	18.5000
07/09/2016	18.4220
08/09/2016	18.6800
09/09/2016	18.9280
12/09/2016	19.1565
13/09/2016	19.2200
14/09/2016	19.2700
15/09/2016	19.3075
19/09/2016	19.6985
20/09/2016	19.9085
21/09/2016	19.8800
22/09/2016	19.6885
23/09/2016	19.7910
26/09/2016	19.8880
27/09/2016	19.5980
28/09/2016	19.5590
29/09/2016	19.6450
30/09/2016	19.4550
03/10/2016	19.3700
04/10/2016	19.3550
05/10/2016	19.3300
06/10/2016	19.2800
07/10/2016	19.3700
10/10/2016	18.9200
11/10/2016	19.0015
12/10/2016	19.0100
13/10/2016	19.1000
14/10/2016	19.0550
17/10/2016	18.9045
18/10/2016	18.7050
19/10/2016	18.6300
20/10/2016	18.6425
21/10/2016	18.6920
24/10/2016	18.6150
25/10/2016	18.5475
26/10/2016	18.7020
27/10/2016	18.8800
28/10/2016	19.1050
31/10/2016	18.9355
01/11/2016	19.2500
03/11/2016	19.2590
04/11/2016	19.1500
07/11/2016	18.6950
